"Cluster_0"	"Cluster_1"	"Cluster_2"	"Cluster_3"	"Cluster_4"	"Cluster_5"	"Cluster_6"	"Cluster_7"	"Cluster_8"
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	0.00277878607430213	0.203443721921149	-0.217692799268779	0.0908987835465423	-0.190236152172259	-0.153526628417071	0.120870530556684	0.0530667051969098	0.154527770827545
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	-0.0135931080546556	0.107559614085978	-0.137548172563322	0.117645393757605	-0.155760265184639	-0.146912050331633	0.111230783557204	0.0145552645172606	0.205426563506466
"HALLMARK_KRAS_SIGNALING_DN"	-0.00117688838111239	0.00789815140310358	-0.0057912647492845	-0.000763816821830597	-0.00585719089190275	-0.0133292829792536	0.0310822258888269	-0.0146808931722679	0.0204341483870541
"HALLMARK_KRAS_SIGNALING_UP"	-0.00307353389195124	0.0110000847964767	-0.001244153296167	0.0144684291468167	-0.0350245414474729	0.00836003211910744	0.0977347173263203	-0.0410219735722172	0.0811545863509774
"HALLMARK_MITOTIC_SPINDLE"	-0.00939162059475564	-0.0129737800991556	0.0167662076380773	-0.00185150918495015	-0.0042953729317531	-0.0122618570525201	0.0447366679528326	-0.0203665603686148	0.0922687510374458
"HALLMARK_MTORC1_SIGNALING"	-0.0387239399201691	0.0127675766085571	0.0206705260534418	0.00329553680269852	-0.0443544036878924	0.0357165808827207	0.0625693237193232	-0.0454566506441515	0.0307816752714155
"HALLMARK_MYC_TARGETS_V1"	-0.000398233651706376	0.0380618698044346	0.0727435021408445	-0.0922968093401264	0.0681728302151813	-0.0449025994495248	-0.0108573217686466	-0.0184870574698604	-0.0199348427669271
"HALLMARK_MYC_TARGETS_V2"	0.0288909036261307	-0.0101232090210609	0.0487702523553155	-0.0446131600315305	0.0338672207814807	-0.0375771083541702	0.0203948400840009	-0.0223703761368046	-0.0188505582511963
"HALLMARK_MYOGENESIS"	-0.00247791944288198	0.000248671615649393	0.0100897252470741	-0.00185879846287621	0.0039298424365304	-0.0122223456536651	0.0277489528200132	-0.0166263911086225	0.0345473063979676
"HALLMARK_NOTCH_SIGNALING"	0.00128353438521103	0.0134945441811739	0.00405752340708678	-0.0127290774994561	-0.0293257552131468	-0.0087364645081912	0.0392740785868066	0.00626766345593845	0.0169883479339788
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	-0.00164421115241502	0.0875111133152337	0.0441211796790737	-0.0663951077455549	0.0898167099404707	-0.0448301721708134	-0.00984850863174641	-0.00570789340760613	-0.0223036492826847
"HALLMARK_P53_PATHWAY"	-0.0234389592996997	-0.00101302923665505	-0.00290463147543611	0.00712457864210478	-0.0307448711494659	0.0310454837582469	0.0766923983235992	-0.0440073088384981	0.0560297760832925
"HALLMARK_PANCREAS_BETA_CELLS"	0.00515844434115646	0.0438440277222509	0.0152497191648731	-0.0450790889235659	-0.0132285529401181	0.0241050912750395	0.044682423064247	-0.0481140665862966	0.0364312808138352
"HALLMARK_PEROXISOME"	-0.0118557901498366	0.0144747415147483	0.0114780785513608	0.0144910768450258	0.00599646080258128	-0.0299722138992588	0.0194472830201301	-0.0102030540608741	0.0463033893990943
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	-0.0311605594204917	0.0201357684166372	0.00288630659548579	-0.0236278333950584	-0.0119586427879984	-0.00397946006910071	0.0416380556776363	0.00848187050955489	0.0131583246804794
"HALLMARK_PROTEIN_SECRETION"	-0.0308679351806481	0.0264343481515026	0.00931901826590943	-0.0392452949694768	-0.0242289629284146	0.0318382620538497	0.0614476224368337	-0.0520863767811812	-0.00511891705919931
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	-0.0893143195131999	0.0696808197169127	-0.0105542806291647	0.00920479786328753	0.0884481210470702	-0.0240017292021964	0.0333355336381203	0.0270090540136618	0.0579198382553661
"HALLMARK_SPERMATOGENESIS"	-0.00320102169617297	0.00444597421361951	0.00741648097838421	-0.00794087337817998	0.0126565544278302	0.0026501124806069	0.0162080146831879	-0.0021142075162253	0.0229553280073735
"HALLMARK_TGF_BETA_SIGNALING"	-0.0281902775436827	0.0150708844066534	0.0215292412542346	-0.00784297630685686	-0.00414836735570177	0.00254305707183715	0.0809037316430368	-0.0143906585795955	0.0434467387648393
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	-0.0454877842569051	-0.0173771206779936	-0.03691122563528	0.0823681971884672	-0.106504099593777	-0.0166975149516846	0.238493620721849	-0.09333149692944	0.185269152232751
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	-0.00760266186702184	0.014043163309417	0.0334263709334293	-0.0334736370568008	0.00629453143024156	0.0246808565342969	0.0580606162379542	-0.0332944492282778	-0.00724163316943449
"HALLMARK_UV_RESPONSE_DN"	-0.0351922517951232	-0.00902857152989241	0.00953954363395798	-0.0261129846763105	-0.00569619976115617	-0.00186952365694284	0.0490109804612191	-0.0192160339531908	0.0536422454132967
"HALLMARK_UV_RESPONSE_UP"	-0.00777753444330973	0.00716453895931175	0.00280172424342048	0.0124488901416136	-0.0311492417204434	-0.000666559216839903	0.0813244688669794	-0.0453864994327491	0.0488910243502547
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	-0.00762206934835842	-0.025646243124485	0.0212326779329253	0.0130914145253425	-0.0131914474307209	0.00229076857751655	0.0364581655671638	-0.0169671609281948	0.0480759373659876
"HALLMARK_XENOBIOTIC_METABOLISM"	-0.023799197604735	0.00932937399767294	0.00176157686160637	0.0143733768835212	0.00538064688444557	0.0156130702162812	0.0471856169222802	-0.00600879251046269	0.0409245153569989
