pathway	padj	NES	cluster	regulation
260	 APOPTOSIS	0.1067	1.3241	5	UP
310	 APOPTOSIS	0.7901	0.9567	4	UP
358	 APOPTOSIS	3e-04	1.4384	6	UP
431	 APOPTOSIS	0.1491	-1.2709	0	DOWN
46	 BILE ACID METABOLISM	0.842	-1.0148	1	DOWN
57	 BILE ACID METABOLISM	0.2228	1.3217	3	UP
111	 BILE ACID METABOLISM	0.7547	-0.8705	7	DOWN
161	 BILE ACID METABOLISM	0.3325	1.2631	8	UP
232	 BILE ACID METABOLISM	0.9671	-0.7377	2	DOWN
279	 BILE ACID METABOLISM	0.8974	-0.8144	5	DOWN
329	 BILE ACID METABOLISM	0.6657	-1.0449	4	DOWN
391	 BILE ACID METABOLISM	0.8047	0.9087	6	UP
427	 BILE ACID METABOLISM	0.2847	-1.197	0	DOWN
27	 CHOLESTEROL HOMEOSTASIS	0.8881	0.9237	1	UP
92	 CHOLESTEROL HOMEOSTASIS	0.4347	-1.1465	3	DOWN
149	 CHOLESTEROL HOMEOSTASIS	0.0066	-1.6643	7	DOWN
182	 CHOLESTEROL HOMEOSTASIS	0.7147	0.9468	8	UP
228	 CHOLESTEROL HOMEOSTASIS	0.7116	0.9018	2	UP
256	 CHOLESTEROL HOMEOSTASIS	0.0808	1.4482	5	UP
306	 CHOLESTEROL HOMEOSTASIS	0.5035	1.1388	4	UP
372	 CHOLESTEROL HOMEOSTASIS	0.0638	1.3018	6	UP
404	 CHOLESTEROL HOMEOSTASIS	0.3912	1.1031	0	UP
18	 COAGULATION	0.842	1.0508	1	UP
82	 COAGULATION	0.6749	-0.9469	3	DOWN
145	 COAGULATION	0.0345	-1.5171	7	DOWN
189	 COAGULATION	0.8193	0.8586	8	UP
227	 COAGULATION	0.656	0.9426	2	UP
264	 COAGULATION	0.3024	1.179	5	UP
314	 COAGULATION	0.8128	0.9086	4	UP
365	 COAGULATION	0.0039	1.395	6	UP
423	 COAGULATION	0.3369	-1.1515	0	DOWN
25	 COMPLEMENT	0.8881	0.9261	1	UP
56	 COMPLEMENT	0.0983	1.3408	3	UP
131	 COMPLEMENT	0.2124	-1.2258	7	DOWN
162	 COMPLEMENT	0.2913	1.2434	8	UP
245	 COMPLEMENT	0.0971	-1.2603	2	DOWN
281	 COMPLEMENT	0.797	-0.8972	5	DOWN
331	 COMPLEMENT	0.5907	-1.0613	4	DOWN
364	 COMPLEMENT	5e-04	1.4032	6	UP
413	 COMPLEMENT	0.5624	-1	0	DOWN
17	 DNA REPAIR	0.733	1.0899	1	UP
97	 DNA REPAIR	0.2228	-1.2903	3	DOWN
116	 DNA REPAIR	0.6879	-0.9439	7	DOWN
192	 DNA REPAIR	0.8886	0.788	8	UP
224	 DNA REPAIR	0.6421	0.9771	2	UP
293	 DNA REPAIR	0.1379	-1.3013	5	DOWN
343	 DNA REPAIR	0.011	-1.4915	4	DOWN
396	 DNA REPAIR	0.9874	0.7224	6	UP
405	 DNA REPAIR	0.4442	1.0531	0	UP
45	 E2F TARGETS	0.9549	0.7424	1	UP
90	 E2F TARGETS	0.4003	-1.1209	3	DOWN
109	 E2F TARGETS	0.9604	0.846	7	UP
188	 E2F TARGETS	0.8348	0.8606	8	UP
220	 E2F TARGETS	0.4735	1.066	2	UP
288	 E2F TARGETS	0.322	-1.1383	5	DOWN
338	 E2F TARGETS	0.1096	-1.295	4	DOWN
393	 E2F TARGETS	0.9589	0.8475	6	UP
402	 E2F TARGETS	0.0406	1.3797	0	UP
23	 EPITHELIAL MESENCHYMAL TRANSITION	0.8881	0.9607	1	UP
62	 EPITHELIAL MESENCHYMAL TRANSITION	0.2651	1.1903	3	UP
150	 EPITHELIAL MESENCHYMAL TRANSITION	0	-1.91	7	DOWN
178	 EPITHELIAL MESENCHYMAL TRANSITION	0.7147	0.978	8	UP
209	 EPITHELIAL MESENCHYMAL TRANSITION	0.1088	1.3339	2	UP
253	 EPITHELIAL MESENCHYMAL TRANSITION	2e-04	1.6655	5	UP
303	 EPITHELIAL MESENCHYMAL TRANSITION	0.2428	1.3059	4	UP
356	 EPITHELIAL MESENCHYMAL TRANSITION	0	1.4752	6	UP
439	 EPITHELIAL MESENCHYMAL TRANSITION	0.1225	-1.3369	0	DOWN
41	 ESTROGEN RESPONSE EARLY	0.9176	0.8042	1	UP
74	 ESTROGEN RESPONSE EARLY	0.7477	0.9276	3	UP
119	 ESTROGEN RESPONSE EARLY	0.6436	-0.9693	7	DOWN
174	 ESTROGEN RESPONSE EARLY	0.6338	1.0549	8	UP
219	 ESTROGEN RESPONSE EARLY	0.4651	1.0731	2	UP
266	 ESTROGEN RESPONSE EARLY	0.2422	1.1614	5	UP
316	 ESTROGEN RESPONSE EARLY	0.8748	0.8362	4	UP
359	 ESTROGEN RESPONSE EARLY	3e-04	1.4221	6	UP
434	 ESTROGEN RESPONSE EARLY	0.1491	-1.2808	0	DOWN
32	 ESTROGEN RESPONSE LATE	0.8881	0.891	1	UP
71	 ESTROGEN RESPONSE LATE	0.5385	1.0325	3	UP
130	 ESTROGEN RESPONSE LATE	0.2379	-1.1969	7	DOWN
164	 ESTROGEN RESPONSE LATE	0.3753	1.2002	8	UP
236	 ESTROGEN RESPONSE LATE	0.5943	-1.0009	2	DOWN
273	 ESTROGEN RESPONSE LATE	0.5883	1.0033	5	UP
323	 ESTROGEN RESPONSE LATE	0.8748	-0.8909	4	DOWN
360	 ESTROGEN RESPONSE LATE	3e-04	1.4182	6	UP
418	 ESTROGEN RESPONSE LATE	0.452	-1.0576	0	DOWN
37	 FATTY ACID METABOLISM	0.8881	0.8669	1	UP
81	 FATTY ACID METABOLISM	0.6749	-0.9436	3	DOWN
124	 FATTY ACID METABOLISM	0.3595	-1.1268	7	DOWN
187	 FATTY ACID METABOLISM	0.8085	0.8744	8	UP
213	 FATTY ACID METABOLISM	0.2368	1.2617	2	UP
267	 FATTY ACID METABOLISM	0.3478	1.1085	5	UP
317	 FATTY ACID METABOLISM	0.9978	-0.7678	4	DOWN
390	 FATTY ACID METABOLISM	0.7645	0.9534	6	UP
422	 FATTY ACID METABOLISM	0.3818	-1.1224	0	DOWN
28	 G2M CHECKPOINT	0.8881	0.9209	1	UP
95	 G2M CHECKPOINT	0.2228	-1.2593	3	DOWN
107	 G2M CHECKPOINT	0.21	1.1792	7	UP
185	 G2M CHECKPOINT	0.7529	0.9323	8	UP
216	 G2M CHECKPOINT	0.4274	1.1085	2	UP
284	 G2M CHECKPOINT	0.6559	-0.9751	5	DOWN
334	 G2M CHECKPOINT	0.303	-1.1574	4	DOWN
386	 G2M CHECKPOINT	0.1978	1.1422	6	UP
408	 G2M CHECKPOINT	0.8679	-0.8311	0	DOWN
14	 GLYCOLYSIS	0.733	1.0969	1	UP
63	 GLYCOLYSIS	0.2651	1.1884	3	UP
146	 GLYCOLYSIS	0.0069	-1.5775	7	DOWN
176	 GLYCOLYSIS	0.6883	1.0311	8	UP
217	 GLYCOLYSIS	0.4274	1.0988	2	UP
252	 GLYCOLYSIS	0	1.8606	5	UP
302	 GLYCOLYSIS	0.0062	1.505	4	UP
376	 GLYCOLYSIS	0.0384	1.2658	6	UP
448	 GLYCOLYSIS	0.0011	-1.6135	0	DOWN
22	 HEDGEHOG SIGNALING	0.8881	0.9987	1	UP
78	 HEDGEHOG SIGNALING	0.7644	-0.8406	3	DOWN
137	 HEDGEHOG SIGNALING	0.2124	-1.3146	7	DOWN
186	 HEDGEHOG SIGNALING	0.7529	0.8843	8	UP
222	 HEDGEHOG SIGNALING	0.6222	1.011	2	UP
278	 HEDGEHOG SIGNALING	0.9004	-0.7333	5	DOWN
328	 HEDGEHOG SIGNALING	0.6657	-1.0406	4	DOWN
367	 HEDGEHOG SIGNALING	0.0609	1.3618	6	UP
436	 HEDGEHOG SIGNALING	0.254	-1.2967	0	DOWN
42	 HEME METABOLISM	0.9176	0.803	1	UP
68	 HEME METABOLISM	0.3309	1.1124	3	UP
134	 HEME METABOLISM	0.1904	-1.2609	7	DOWN
171	 HEME METABOLISM	0.5383	1.1064	8	UP
233	 HEME METABOLISM	0.9047	-0.8459	2	DOWN
258	 HEME METABOLISM	0.0808	1.3923	5	UP
308	 HEME METABOLISM	0.6657	1.0264	4	UP
370	 HEME METABOLISM	0.0103	1.322	6	UP
440	 HEME METABOLISM	0.1259	-1.3553	0	DOWN
38	 HYPOXIA	0.8881	0.8543	1	UP
55	 HYPOXIA	0.0086	1.549	3	UP
148	 HYPOXIA	0.0014	-1.6486	7	DOWN
163	 HYPOXIA	0.2913	1.2303	8	UP
244	 HYPOXIA	0.2368	-1.2174	2	DOWN
251	 HYPOXIA	0	2.1555	5	UP
301	 HYPOXIA	5e-04	1.6471	4	UP
353	 HYPOXIA	0	1.5776	6	UP
450	 HYPOXIA	0.0011	-1.6491	0	DOWN
12	 IL2 STAT5 SIGNALING	0.7145	1.1315	1	UP
80	 IL2 STAT5 SIGNALING	0.7477	-0.9157	3	DOWN
139	 IL2 STAT5 SIGNALING	0.0628	-1.3641	7	DOWN
156	 IL2 STAT5 SIGNALING	0.0237	1.4253	8	UP
240	 IL2 STAT5 SIGNALING	0.3181	-1.1436	2	DOWN
269	 IL2 STAT5 SIGNALING	0.42	1.067	5	UP
319	 IL2 STAT5 SIGNALING	0.9115	-0.8069	4	DOWN
363	 IL2 STAT5 SIGNALING	3e-04	1.4034	6	UP
435	 IL2 STAT5 SIGNALING	0.1309	-1.2852	0	DOWN
21	 IL6 JAK STAT3 SIGNALING	0.8881	1.0046	1	UP
58	 IL6 JAK STAT3 SIGNALING	0.2635	1.3028	3	UP
117	 IL6 JAK STAT3 SIGNALING	0.6436	-0.9611	7	DOWN
159	 IL6 JAK STAT3 SIGNALING	0.2913	1.2991	8	UP
242	 IL6 JAK STAT3 SIGNALING	0.3356	-1.1935	2	DOWN
285	 IL6 JAK STAT3 SIGNALING	0.6091	-1	5	DOWN
335	 IL6 JAK STAT3 SIGNALING	0.2428	-1.1964	4	DOWN
352	 IL6 JAK STAT3 SIGNALING	0	1.609	6	UP
444	 IL6 JAK STAT3 SIGNALING	0.0765	-1.4246	0	DOWN
15	 INFLAMMATORY RESPONSE	0.733	1.0952	1	UP
54	 INFLAMMATORY RESPONSE	3e-04	1.6981	3	UP
140	 INFLAMMATORY RESPONSE	0.0628	-1.371	7	DOWN
154	 INFLAMMATORY RESPONSE	0.0016	1.5286	8	UP
248	 INFLAMMATORY RESPONSE	0.0056	-1.5846	2	DOWN
291	 INFLAMMATORY RESPONSE	0.1192	-1.2887	5	DOWN
341	 INFLAMMATORY RESPONSE	0.0859	-1.4213	4	DOWN
354	 INFLAMMATORY RESPONSE	0	1.5638	6	UP
425	 INFLAMMATORY RESPONSE	0.254	-1.1839	0	DOWN
1	 INTERFERON ALPHA RESPONSE	2e-04	1.6729	1	UP
52	 INTERFERON ALPHA RESPONSE	0.0021	1.7897	3	UP
101	 INTERFERON ALPHA RESPONSE	0.0352	1.5655	7	UP
153	 INTERFERON ALPHA RESPONSE	0.0038	1.5485	8	UP
250	 INTERFERON ALPHA RESPONSE	0	-2.1245	2	DOWN
299	 INTERFERON ALPHA RESPONSE	1e-04	-1.7042	5	DOWN
349	 INTERFERON ALPHA RESPONSE	0	-1.8753	4	DOWN
366	 INTERFERON ALPHA RESPONSE	0.007	1.3788	6	UP
403	 INTERFERON ALPHA RESPONSE	0.254	1.2078	0	UP
3	 INTERFERON GAMMA RESPONSE	5e-04	1.551	1	UP
51	 INTERFERON GAMMA RESPONSE	0	1.9971	3	UP
102	 INTERFERON GAMMA RESPONSE	0.0628	1.3684	7	UP
151	 INTERFERON GAMMA RESPONSE	0	1.6907	8	UP
249	 INTERFERON GAMMA RESPONSE	0	-2.0825	2	DOWN
300	 INTERFERON GAMMA RESPONSE	0	-1.7533	5	DOWN
350	 INTERFERON GAMMA RESPONSE	0	-1.8844	4	DOWN
362	 INTERFERON GAMMA RESPONSE	3e-04	1.408	6	UP
415	 INTERFERON GAMMA RESPONSE	0.5454	-1.0117	0	DOWN
16	 KRAS SIGNALING DN	0.7349	1.0932	1	UP
73	 KRAS SIGNALING DN	0.6749	0.9425	3	UP
135	 KRAS SIGNALING DN	0.1974	-1.2645	7	DOWN
183	 KRAS SIGNALING DN	0.7147	0.941	8	UP
243	 KRAS SIGNALING DN	0.2881	-1.2017	2	DOWN
289	 KRAS SIGNALING DN	0.3201	-1.1664	5	DOWN
339	 KRAS SIGNALING DN	0.0859	-1.3069	4	DOWN
357	 KRAS SIGNALING DN	5e-04	1.4488	6	UP
409	 KRAS SIGNALING DN	0.8269	-0.8445	0	DOWN
26	 KRAS SIGNALING UP	0.8881	0.9245	1	UP
61	 KRAS SIGNALING UP	0.2228	1.1965	3	UP
144	 KRAS SIGNALING UP	0.0299	-1.451	7	DOWN
158	 KRAS SIGNALING UP	0.0965	1.3283	8	UP
239	 KRAS SIGNALING UP	0.3915	-1.1174	2	DOWN
265	 KRAS SIGNALING UP	0.1765	1.1734	5	UP
315	 KRAS SIGNALING UP	0.8128	0.8681	4	UP
355	 KRAS SIGNALING UP	0	1.4972	6	UP
419	 KRAS SIGNALING UP	0.452	-1.0588	0	DOWN
47	 MITOTIC SPINDLE	0.662	-1.1069	1	DOWN
75	 MITOTIC SPINDLE	0.7644	0.9194	3	UP
125	 MITOTIC SPINDLE	0.3471	-1.1307	7	DOWN
155	 MITOTIC SPINDLE	0.0091	1.4364	8	UP
205	 MITOTIC SPINDLE	0.0356	1.4113	2	UP
280	 MITOTIC SPINDLE	0.8222	-0.8847	5	DOWN
330	 MITOTIC SPINDLE	0.6295	-1.0499	4	DOWN
369	 MITOTIC SPINDLE	0.0039	1.3264	6	UP
424	 MITOTIC SPINDLE	0.2847	-1.1569	0	DOWN
24	 MTORC1 SIGNALING	0.8881	0.9579	1	UP
66	 MTORC1 SIGNALING	0.3074	1.1606	3	UP
142	 MTORC1 SIGNALING	0.0594	-1.3914	7	DOWN
177	 MTORC1 SIGNALING	0.7147	1.0074	8	UP
210	 MTORC1 SIGNALING	0.0879	1.3312	2	UP
255	 MTORC1 SIGNALING	0.0094	1.4508	5	UP
305	 MTORC1 SIGNALING	0.303	1.2474	4	UP
380	 MTORC1 SIGNALING	0.0609	1.2204	6	UP
446	 MTORC1 SIGNALING	0.0398	-1.4829	0	DOWN
11	 MYC TARGETS V1	0.7145	1.136	1	UP
99	 MYC TARGETS V1	1e-04	-1.6746	3	DOWN
128	 MYC TARGETS V1	0.2968	-1.1514	7	DOWN
199	 MYC TARGETS V1	0.0091	-1.3792	8	DOWN
201	 MYC TARGETS V1	0	1.9875	2	UP
296	 MYC TARGETS V1	0.016	-1.4124	5	DOWN
346	 MYC TARGETS V1	6e-04	-1.6531	4	DOWN
399	 MYC TARGETS V1	NA	NA	6	NA
412	 MYC TARGETS V1	0.6062	-0.9759	0	DOWN
49	 MYC TARGETS V2	0.662	-1.3132	1	DOWN
98	 MYC TARGETS V2	0.2228	-1.3684	3	DOWN
132	 MYC TARGETS V2	0.2379	-1.2504	7	DOWN
198	 MYC TARGETS V2	0.1783	-1.3693	8	DOWN
202	 MYC TARGETS V2	0.0356	1.5314	2	UP
295	 MYC TARGETS V2	0.153	-1.3445	5	DOWN
345	 MYC TARGETS V2	0.0012	-1.6313	4	DOWN
398	 MYC TARGETS V2	0.9947	0.5534	6	UP
401	 MYC TARGETS V2	0.1149	1.5051	0	UP
44	 MYOGENESIS	0.9549	0.7429	1	UP
79	 MYOGENESIS	0.7775	-0.8625	3	DOWN
133	 MYOGENESIS	0.1904	-1.2525	7	DOWN
168	 MYOGENESIS	0.496	1.15	8	UP
214	 MYOGENESIS	0.2521	1.222	2	UP
286	 MYOGENESIS	0.42	-1.091	5	DOWN
336	 MYOGENESIS	0.2132	-1.2047	4	DOWN
374	 MYOGENESIS	0.0211	1.2849	6	UP
411	 MYOGENESIS	0.6263	-0.9575	0	DOWN
34	 NOTCH SIGNALING	0.8881	0.8797	1	UP
76	 NOTCH SIGNALING	0.7893	-0.7907	3	DOWN
108	 NOTCH SIGNALING	0.5419	1.0293	7	UP
193	 NOTCH SIGNALING	0.8659	0.7305	8	UP
231	 NOTCH SIGNALING	0.9671	0.655	2	UP
277	 NOTCH SIGNALING	0.9004	-0.7181	5	DOWN
327	 NOTCH SIGNALING	0.7511	-0.9849	4	DOWN
389	 NOTCH SIGNALING	0.6737	0.997	6	UP
406	 NOTCH SIGNALING	0.8322	0.7936	0	UP
2	 OXIDATIVE PHOSPHORYLATION	2e-04	1.5813	1	UP
100	 OXIDATIVE PHOSPHORYLATION	0	-1.7388	3	DOWN
122	 OXIDATIVE PHOSPHORYLATION	0.4483	-1.0676	7	DOWN
200	 OXIDATIVE PHOSPHORYLATION	1e-04	-1.6463	8	DOWN
203	 OXIDATIVE PHOSPHORYLATION	0.0068	1.5176	2	UP
297	 OXIDATIVE PHOSPHORYLATION	0.0013	-1.532	5	DOWN
347	 OXIDATIVE PHOSPHORYLATION	2e-04	-1.6774	4	DOWN
400	 OXIDATIVE PHOSPHORYLATION	NA	NA	6	NA
428	 OXIDATIVE PHOSPHORYLATION	0.1733	-1.244	0	DOWN
36	 P53 PATHWAY	0.8881	0.8701	1	UP
67	 P53 PATHWAY	0.3074	1.1579	3	UP
143	 P53 PATHWAY	0.0698	-1.3942	7	DOWN
169	 P53 PATHWAY	0.496	1.1355	8	UP
237	 P53 PATHWAY	0.5519	-1.0186	2	DOWN
254	 P53 PATHWAY	0.0049	1.49	5	UP
304	 P53 PATHWAY	0.0859	1.296	4	UP
373	 P53 PATHWAY	0.0101	1.2988	6	UP
437	 P53 PATHWAY	0.1259	-1.3071	0	DOWN
5	 PANCREAS BETA CELLS	0.662	1.2848	1	UP
96	 PANCREAS BETA CELLS	0.3074	-1.2617	3	DOWN
126	 PANCREAS BETA CELLS	0.4483	-1.1477	7	DOWN
190	 PANCREAS BETA CELLS	0.7978	0.8468	8	UP
230	 PANCREAS BETA CELLS	0.7498	0.8505	2	UP
271	 PANCREAS BETA CELLS	0.5445	1.0454	5	UP
321	 PANCREAS BETA CELLS	0.9115	-0.8596	4	DOWN
388	 PANCREAS BETA CELLS	0.6737	0.9992	6	UP
407	 PANCREAS BETA CELLS	0.8683	-0.7134	0	DOWN
29	 PEROXISOME	0.8881	0.9132	1	UP
65	 PEROXISOME	0.3182	1.1732	3	UP
113	 PEROXISOME	0.7462	-0.8932	7	DOWN
167	 PEROXISOME	0.496	1.1621	8	UP
229	 PEROXISOME	0.7215	0.8943	2	UP
294	 PEROXISOME	0.1468	-1.3183	5	DOWN
344	 PEROXISOME	0.0045	-1.5397	4	DOWN
397	 PEROXISOME	0.9874	0.7117	6	UP
426	 PEROXISOME	0.2847	-1.196	0	DOWN
13	 PI3K AKT MTOR SIGNALING	0.733	1.1151	1	UP
84	 PI3K AKT MTOR SIGNALING	0.6604	-0.9715	3	DOWN
103	 PI3K AKT MTOR SIGNALING	0.21	1.2526	7	UP
191	 PI3K AKT MTOR SIGNALING	0.8348	0.8146	8	UP
226	 PI3K AKT MTOR SIGNALING	0.656	0.9463	2	UP
272	 PI3K AKT MTOR SIGNALING	0.5631	1.0264	5	UP
322	 PI3K AKT MTOR SIGNALING	0.8748	-0.8847	4	DOWN
385	 PI3K AKT MTOR SIGNALING	0.2286	1.1649	6	UP
443	 PI3K AKT MTOR SIGNALING	0.0765	-1.4111	0	DOWN
10	 PROTEIN SECRETION	0.733	1.1401	1	UP
91	 PROTEIN SECRETION	0.4552	-1.123	3	DOWN
141	 PROTEIN SECRETION	0.1166	-1.3854	7	DOWN
195	 PROTEIN SECRETION	0.7092	-1.0048	8	DOWN
223	 PROTEIN SECRETION	0.6079	1.0074	2	UP
257	 PROTEIN SECRETION	0.0808	1.4353	5	UP
307	 PROTEIN SECRETION	0.6657	1.0271	4	UP
379	 PROTEIN SECRETION	0.1392	1.2251	6	UP
438	 PROTEIN SECRETION	0.1309	-1.3313	0	DOWN
7	 REACTIVE OXYGEN SPECIES PATHWAY	0.7145	1.2173	1	UP
70	 REACTIVE OXYGEN SPECIES PATHWAY	0.5385	1.0556	3	UP
104	 REACTIVE OXYGEN SPECIES PATHWAY	0.2595	1.2351	7	UP
172	 REACTIVE OXYGEN SPECIES PATHWAY	0.5967	1.0934	8	UP
238	 REACTIVE OXYGEN SPECIES PATHWAY	0.5519	-1.0416	2	DOWN
282	 REACTIVE OXYGEN SPECIES PATHWAY	0.6559	-0.9628	5	DOWN
332	 REACTIVE OXYGEN SPECIES PATHWAY	0.567	-1.089	4	DOWN
394	 REACTIVE OXYGEN SPECIES PATHWAY	0.8797	0.8355	6	UP
449	 REACTIVE OXYGEN SPECIES PATHWAY	0.0057	-1.6345	0	DOWN
43	 SPERMATOGENESIS	0.9176	0.7832	1	UP
86	 SPERMATOGENESIS	0.6604	-0.986	3	DOWN
110	 SPERMATOGENESIS	0.9604	0.7941	7	UP
181	 SPERMATOGENESIS	0.7147	0.9502	8	UP
225	 SPERMATOGENESIS	0.656	0.9501	2	UP
276	 SPERMATOGENESIS	0.8974	0.8362	5	UP
326	 SPERMATOGENESIS	0.7901	-0.9655	4	DOWN
392	 SPERMATOGENESIS	0.8277	0.8973	6	UP
417	 SPERMATOGENESIS	0.4921	-1.0468	0	DOWN
31	 TGF BETA SIGNALING	0.8881	0.8939	1	UP
77	 TGF BETA SIGNALING	0.7775	-0.8292	3	DOWN
121	 TGF BETA SIGNALING	0.6436	-0.9838	7	DOWN
184	 TGF BETA SIGNALING	0.7147	0.9331	8	UP
218	 TGF BETA SIGNALING	0.5082	1.0951	2	UP
275	 TGF BETA SIGNALING	0.7918	0.8688	5	UP
325	 TGF BETA SIGNALING	0.7901	-0.9331	4	DOWN
375	 TGF BETA SIGNALING	0.1226	1.2678	6	UP
429	 TGF BETA SIGNALING	0.254	-1.2443	0	DOWN
48	 TNFA SIGNALING VIA NFKB	0.662	-1.1219	1	DOWN
53	 TNFA SIGNALING VIA NFKB	1e-04	1.7728	3	UP
147	 TNFA SIGNALING VIA NFKB	0.0014	-1.6074	7	DOWN
152	 TNFA SIGNALING VIA NFKB	0	1.643	8	UP
246	 TNFA SIGNALING VIA NFKB	0.03	-1.4264	2	DOWN
283	 TNFA SIGNALING VIA NFKB	0.6559	-0.972	5	DOWN
333	 TNFA SIGNALING VIA NFKB	0.567	-1.0947	4	DOWN
351	 TNFA SIGNALING VIA NFKB	0	1.7116	6	UP
441	 TNFA SIGNALING VIA NFKB	0.0765	-1.3736	0	DOWN
39	 UNFOLDED PROTEIN RESPONSE	0.8881	0.85	1	UP
94	 UNFOLDED PROTEIN RESPONSE	0.3182	-1.1853	3	DOWN
136	 UNFOLDED PROTEIN RESPONSE	0.1571	-1.31	7	DOWN
197	 UNFOLDED PROTEIN RESPONSE	0.2913	-1.1554	8	DOWN
207	 UNFOLDED PROTEIN RESPONSE	0.0992	1.3592	2	UP
262	 UNFOLDED PROTEIN RESPONSE	0.2191	1.2205	5	UP
312	 UNFOLDED PROTEIN RESPONSE	0.7901	0.9402	4	UP
387	 UNFOLDED PROTEIN RESPONSE	0.3346	1.1082	6	UP
420	 UNFOLDED PROTEIN RESPONSE	0.452	-1.0757	0	DOWN
35	 UV RESPONSE DN	0.8881	0.8745	1	UP
89	 UV RESPONSE DN	0.5706	-1.055	3	DOWN
120	 UV RESPONSE DN	0.6436	-0.9698	7	DOWN
165	 UV RESPONSE DN	0.4103	1.198	8	UP
206	 UV RESPONSE DN	0.0791	1.3916	2	UP
263	 UV RESPONSE DN	0.2586	1.1819	5	UP
313	 UV RESPONSE DN	0.7901	0.9372	4	UP
361	 UV RESPONSE DN	0.0012	1.4139	6	UP
445	 UV RESPONSE DN	0.058	-1.4519	0	DOWN
40	 UV RESPONSE UP	0.8881	0.8451	1	UP
64	 UV RESPONSE UP	0.2735	1.1768	3	UP
138	 UV RESPONSE UP	0.1166	-1.3608	7	DOWN
173	 UV RESPONSE UP	0.5912	1.0891	8	UP
234	 UV RESPONSE UP	0.6528	-0.9491	2	DOWN
270	 UV RESPONSE UP	0.4827	1.046	5	UP
